x,y
120.000000,160.000000
118.340273,160.802850
116.760184,161.610808
115.258379,162.422988
113.833507,163.238522
112.484227,164.056547
111.209200,164.876216
110.007098,165.696690
108.876595,166.517146
107.816375,167.336766
106.825125,168.154750
105.901541,168.970304
105.044323,169.782650
104.252180,170.591016
103.523824,171.394648
102.857977,172.192797
102.253363,172.984730
101.708717,173.769722
101.222776,174.547064
100.794287,175.316052
100.422000,176.076000
100.104674,176.826228
99.841072,177.566072
99.629966,178.294874
99.470131,179.011994
99.360352,179.716797
99.299416,180.408664
99.286121,181.086984
99.319267,181.751162
99.397664,182.400608
99.520125,183.034750
99.685472,183.653022
99.892531,184.254874
100.140137,184.839762
100.427128,185.407160
100.752352,185.956547
101.114659,186.487418
101.512910,186.999276
101.945968,187.491640
102.412706,187.964034
102.912000,188.416000
103.442735,188.847086
104.003800,189.256856
104.594093,189.644880
105.212515,190.010746
105.857977,190.354047
106.529392,190.674392
107.225684,190.971398
107.945779,191.244698
108.688613,191.493930
109.453125,191.718750
110.238263,191.918820
111.042979,192.093818
111.866234,192.243428
112.706992,192.367352
113.564227,192.465297
114.436915,192.536986
115.324043,192.582150
116.224600,192.600536
117.137585,192.591896
118.062000,192.556000
118.996856,192.492624
119.941168,192.401560
120.893960,192.282606
121.854259,192.135578
122.821102,191.960297
123.793528,191.756600
124.770587,191.524332
125.751331,191.263354
126.734822,190.973532
127.720125,190.654750
128.706314,190.306898
129.692467,189.929882
130.677671,189.523614
131.661016,189.088024
132.641602,188.623047
133.618531,188.128634
134.590916,187.604744
135.557872,187.051352
136.518524,186.468438
137.472000,185.856000
138.417437,185.214042
139.353976,184.542584
140.280767,183.841652
141.196963,183.111290
142.101727,182.351547
142.994224,181.562488
143.873630,180.744186
144.739123,179.896730
145.589891,179.020214
146.425125,178.114750
147.244025,177.180456
148.045795,176.217466
148.829648,175.225920
149.594800,174.205976
150.340477,173.157797
151.065907,172.081562
151.770329,170.977458
152.452984,169.845688
153.113123,168.686460
153.750000,167.500000
154.362878,166.286540
154.951024,165.046328
155.513714,163.779618
156.050227,162.486682
156.559852,161.167797
157.041880,159.823256
157.495613,158.453360
157.920355,157.058426
158.315420,155.638776
158.680125,154.194750
159.013796,152.726694
159.315763,151.234970
159.585365,149.719946
159.821944,148.182008
160.024852,146.621547
160.193443,145.038970
160.327082,143.434692
160.425136,141.809144
160.486982,140.162762
160.512000,138.496000
160.499579,136.809318
160.449112,135.103192
160.360001,133.378104
160.231651,131.634554
160.063477,129.873047
159.854896,128.094104
159.605336,126.298254
159.314227,124.486042
158.981009,122.658018
158.605125,120.814750
158.186027,118.956812
157.723171,117.084794
157.216022,115.199292
156.664048,113.300920
156.066727,111.390297
155.423539,109.468058
154.733975,107.534846
153.997528,105.591320
153.213701,103.638144
152.382000,101.676000
151.501940,99.705576
150.573040,97.727576
149.594828,95.742710
148.566835,93.751706
147.488602,91.755297
146.359672,89.754232
145.179599,87.749268
143.947939,85.741178
142.664258,83.730740
141.328125,81.718750
139.939118,79.706010
138.496819,77.693338
137.000819,75.681558
135.450712,73.671512
133.846102,71.664047
132.186595,69.660026
130.471808,67.660320
128.701360,65.665816
126.874880,63.677406
124.992000,61.696000
123.052361,59.722514
121.055608,57.757880
119.001395,55.803036
116.889379,53.858938
114.719227,51.926547
112.490608,50.006840
110.203202,48.100802
107.856691,46.209434
105.450767,44.333742
102.985125,42.474750
100.459469,40.633488
97.873507,38.811002
95.226956,37.008344
92.519536,35.226584
89.750977,33.466797
86.921011,31.730074
84.029381,30.017514
81.075832,28.330232
78.060119,26.669348
74.982000,25.036000
71.841242,23.431332
68.637616,21.856504
65.370902,20.312682
62.040883,18.801050
58.647352,17.322797
55.190104,15.879128
51.668945,14.471256
48.083683,13.100410
44.434136,11.767824
40.720125,10.474750
36.941480,9.222446
33.098035,8.012186
29.189633,6.845250
25.216120,5.722936
21.177352,4.646547
17.073187,3.617402
12.903494,2.636828
8.668144,1.706168
4.367018,0.826770
